"Column1";"Season";"Episode";"Sentence";"Name";"N_serie";"N_Season";"Emision Date"
1;"Season 1";"winter is coming";"what d'you expect? they are savages one lot steals a goat from another lot and before you know it, they are ripping each other to pieces";"waymar royce";1;1;"17/04/2011"
2;"Season 1";"winter is coming";"i have never seen wildlings do a thing like this i have never seen a thing like this, not ever in my life";"will";1;1;"17/04/2011"
3;"Season 1";"winter is coming";"how close did you get?";"waymar royce";1;1;"17/04/2011"
4;"Season 1";"winter is coming";"close as any man would";"will";1;1;"17/04/2011"
5;"Season 1";"winter is coming";"we should head back to the wall";"gared";1;1;"17/04/2011"
6;"Season 1";"winter is coming";"do the dead frighten you?";"royce";1;1;"17/04/2011"
7;"Season 1";"winter is coming";"our orders  to track the wildlings we tracked them they will not trouble us no more";"gared";1;1;"17/04/2011"
8;"Season 1";"winter is coming";"you do not think he will ask us how they died? get back on your horse";"royce";1;1;"17/04/2011"
9;"Season 1";"winter is coming";"whatever did it to them could do it to us they even killed the children";"will";1;1;"17/04/2011"
10;"Season 1";"winter is coming";"it is a good thing we are not children you want to run away south, run away of course, they will behead you as a deserter if i do not catch you first get back on your horse i will not say it again";"royce";1;1;"17/04/2011"
11;"Season 1";"winter is coming";"your dead men seem to have moved camp";"royce";1;1;"17/04/2011"
12;"Season 1";"winter is coming";"they  here";"will";1;1;"17/04/2011"
13;"Season 1";"winter is coming";"see where they went";"gared";1;1;"17/04/2011"
14;"Season 1";"winter is coming";"what is it?";"royce";1;1;"17/04/2011"
15;"Season 1";"winter is coming";"it is";"gared";1;1;"17/04/2011"
16;"Season 1";"winter is coming";"go on father's watching";"jon";1;1;"17/04/2011"
17;"Season 1";"winter is coming";"and your mother";"jon";1;1;"17/04/2011"
18;"Season 1";"winter is coming";"fine work, as always  done";"septa mordane";1;1;"17/04/2011"
19;"Season 1";"winter is coming";"thank you";"sansa";1;1;"17/04/2011"
20;"Season 1";"winter is coming";"i love the detail that you have managed to get in this corners quite beautiful the stitching";"septa mordane";1;1;"17/04/2011"
21;"Season 1";"winter is coming";"and which one of you was a marksman at ten? keep practicing, bran go on";"ned";1;1;"17/04/2011"
22;"Season 1";"winter is coming";"do not think too much, bran";"jon";1;1;"17/04/2011"
