Release.Date,Season,Episode,Episode.Title,Name,Sentence,lemma,tokens
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,you should consider yourself lucky. at least your balls will not freeze off.,consider lucky least ball freeze,"['consider', 'lucky', 'least', 'ball', 'freeze']"
2019-04-14,Season 8,Episode 1,Winterfell,varys,"you take great offense at dwarf jokes, but love telling eunuch jokes. why is that?",take great offense dwarf joke love telling eunuch joke,"['take', 'great', 'offense', 'dwarf', 'joke', 'love', 'telling', 'eunuch', 'joke']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,"because i have balls, and you do not.",ball,['ball']
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,i warned you. northerners do not much trust outsiders.,warned northerner much trust outsider,"['warned', 'northerner', 'much', 'trust', 'outsider']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,look at you.,look,['look']
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,you are a man.,man,['man']
2019-04-14,Season 8,Episode 1,Winterfell,bran stark,almost.,almost,['almost']
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,where is arya?,arya,['arya']
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,lurking somewhere.,lurking somewhere,"['lurking', 'somewhere']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,"queen daenerys of house targaryen. my sister, sansa stark, the lady of winterfell.",queen daenerys house targaryen sister sansa stark lady winterfell,"['queen', 'daenerys', 'house', 'targaryen', 'sister', 'sansa', 'stark', 'lady', 'winterfell']"
2019-04-14,Season 8,Episode 1,Winterfell,daenerys targaryen,"thank you for inviting us into your home, lady stark. the north is as beautiful as your brother claimed, as are you.",thank inviting u home lady stark north beautiful brother claimed,"['thank', 'inviting', 'u', 'home', 'lady', 'stark', 'north', 'beautiful', 'brother', 'claimed']"
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,"winterfell is yours, your grace.",winterfell grace,"['winterfell', 'grace']"
2019-04-14,Season 8,Episode 1,Winterfell,bran stark,we do not have time for all this. the night king has your dragon.,time night king dragon,"['time', 'night', 'king', 'dragon']"
2019-04-14,Season 8,Episode 1,Winterfell,bran stark,"he is one of them now. the wall has fallen, the dead march south.",one wall fallen dead march south,"['one', 'wall', 'fallen', 'dead', 'march', 'south']"
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,"as soon as we heard about the wall, i called all our banners to retreat to winterfell. lord umber when can we expect your people to arrive?",soon heard wall called banner retreat winterfell lord umber expect people arrive,"['soon', 'heard', 'wall', 'called', 'banner', 'retreat', 'winterfell', 'lord', 'umber', 'expect', 'people', 'arrive']"
2019-04-14,Season 8,Episode 1,Winterfell,umber,"we need more horses and wagons, if it please my lady.",need horse wagon please lady,"['need', 'horse', 'wagon', 'please', 'lady']"
2019-04-14,Season 8,Episode 1,Winterfell,umber,and my lord.,lord,['lord']
2019-04-14,Season 8,Episode 1,Winterfell,umber,and my queen. sorry.,queen sorry,"['queen', 'sorry']"
2019-04-14,Season 8,Episode 1,Winterfell,sansa stark,you will have as many as we can spare. hurry back to last hearth and bring your people here.,many spare hurry back last hearth bring people,"['many', 'spare', 'hurry', 'back', 'last', 'hearth', 'bring', 'people']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,we need to send ravens to the night's watch as . there is no sense in manning the castles anymore. we make our stand here.,need send raven night's watch sense manning castle anymore make stand,"['need', 'send', 'raven', ""night's"", 'watch', 'sense', 'manning', 'castle', 'anymore', 'make', 'stand']"
2019-04-14,Season 8,Episode 1,Winterfell,maester wolkan,"at once, your grace.",grace,['grace']
2019-04-14,Season 8,Episode 1,Winterfell,lyanna mormont,your grace.,grace,['grace']
2019-04-14,Season 8,Episode 1,Winterfell,lyanna,but you are not. are you? you left winterfell a king and came back a- i am not sure what you are now.,left winterfell king came back sure,"['left', 'winterfell', 'king', 'came', 'back', 'sure']"
2019-04-14,Season 8,Episode 1,Winterfell,lyanna,a lord? nothing at all?,lord nothing,"['lord', 'nothing']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,it is not important.,important,['important']
2019-04-14,Season 8,Episode 1,Winterfell,lyanna,not important? we named you king in the north.,important named king north,"['important', 'named', 'king', 'north']"
2019-04-14,Season 8,Episode 1,Winterfell,man,king of the north!,king north,"['king', 'north']"
2019-04-14,Season 8,Episode 1,Winterfell,jon snow,"you did, my lady. it was the honor of my life. i will always be grateful for your faith. but when i left winterfell, i told you we need allies or we will die. i have brought those allies home to fight alongside us. i had a choice, keep my crown or protect the north. i chose the north.",lady honor life always grateful faith left winterfell told need ally die brought ally home fight alongside u choice keep crown protect north chose north,"['lady', 'honor', 'life', 'always', 'grateful', 'faith', 'left', 'winterfell', 'told', 'need', 'ally', 'die', 'brought', 'ally', 'home', 'fight', 'alongside', 'u', 'choice', 'keep', 'crown', 'protect', 'north', 'chose', 'north']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,"if anyone survives the war to come, we will have jon snow to thank. he risked his life to show us the threat is real. thanks to his courage, we have brought with us the greatest army the world has ever seen. we have brought two full-grown dragons. and soon, the lannister army will ride north to join our .",anyone survives war come jon snow thank risked life show u threat real thanks courage brought u greatest army world ever seen brought two full grown dragon soon lannister army ride north join,"['anyone', 'survives', 'war', 'come', 'jon', 'snow', 'thank', 'risked', 'life', 'show', 'u', 'threat', 'real', 'thanks', 'courage', 'brought', 'u', 'greatest', 'army', 'world', 'ever', 'seen', 'brought', 'two', 'full', 'grown', 'dragon', 'soon', 'lannister', 'army', 'ride', 'north', 'join']"
2019-04-14,Season 8,Episode 1,Winterfell,tyrion lannister,"i know, i know, our people have not been friends in the past. but we must fight together now or die.",know know people friend past must fight together die,"['know', 'know', 'people', 'friend', 'past', 'must', 'fight', 'together', 'die']"
