"Release.Date";"Season";"Episode";"Episode.Title";"Name";"Sentence"
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"tyrion lannister";"you should consider yourself lucky. at least your balls will not freeze off."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"varys";"you take great offense at dwarf jokes, but love telling eunuch jokes. why is that?"
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"tyrion lannister";"because i have balls, and you do not."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"jon snow";"i warned you. northerners do not much trust outsiders."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"jon snow";"look at you."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"jon snow";"you are a man."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"bran stark";"almost."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"jon snow";"where is arya?"
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"sansa stark";"lurking somewhere."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"jon snow";"queen daenerys of house targaryen. my sister, sansa stark, the lady of winterfell."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"daenerys targaryen";"thank you for inviting us into your home, lady stark. the north is as beautiful as your brother claimed, as are you."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"sansa stark";"winterfell is yours, your grace."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"bran stark";"we do not have time for all this. the night king has your dragon."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"bran stark";"he is one of them now. the wall has fallen, the dead march south."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"sansa stark";"as soon as we heard about the wall, i called all our banners to retreat to winterfell. lord umber when can we expect your people to arrive?"
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"umber";"we need more horses and wagons, if it please my lady."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"umber";"and my lord."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"umber";"and my queen. sorry."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"sansa stark";"you will have as many as we can spare. hurry back to last hearth and bring your people here."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"jon snow";"we need to send ravens to the night's watch as . there is no sense in manning the castles anymore. we make our stand here."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"maester wolkan";"at once, your grace."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"lyanna mormont";"your grace."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"lyanna";"but you are not. are you? you left winterfell a king and came back a- i am not sure what you are now."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"lyanna";"a lord? nothing at all?"
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"jon snow";"it is not important."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"lyanna";"not important? we named you king in the north."
"2019-04-14";"Season 8";"Episode 1";"Winterfell";"man";"king of the north!"
