"","Column1","N_serie","Episode","Name","mean_sent"
"1",16,1,"winter is coming","jon",0
"2",17,1,"winter is coming","jon",0
"3",22,1,"winter is coming","jon",0
"4",38,1,"winter is coming","jon",0
"5",40,1,"winter is coming","jon",0
"6",42,1,"winter is coming","jon",0
"7",52,1,"winter is coming","jon",0
"8",59,1,"winter is coming","jon",0
"9",60,1,"winter is coming","jon",0
"10",70,1,"winter is coming","jon",-0.120604537831105
"11",73,1,"winter is coming","jon",-0.353553390593274
"12",77,1,"winter is coming","cersei",0.387298334620742
"13",79,1,"winter is coming","cersei",0
"14",81,1,"winter is coming","cersei",0
"15",83,1,"winter is coming","cersei",0.0707106781186548
"16",101,1,"winter is coming","jon",-0.0566946709513841
"17",134,1,"winter is coming","cersei",-0.367423461417477
"18",137,1,"winter is coming","cersei",0.134164078649987
"19",146,1,"winter is coming","tyrion",0
"20",148,1,"winter is coming","tyrion",0
"21",150,1,"winter is coming","tyrion",0.4
"22",152,1,"winter is coming","tyrion",0.75
"23",154,1,"winter is coming","tyrion",-0.433012701892219
"24",156,1,"winter is coming","tyrion",0.530330085889911
"25",158,1,"winter is coming","tyrion",0
"26",159,1,"winter is coming","tyrion",0.375
"27",162,1,"winter is coming","tyrion",0.163299316185545
"28",164,1,"winter is coming","tyrion",-0.144337567297406
"29",166,1,"winter is coming","tyrion",-0.176776695296637
"30",168,1,"winter is coming","tyrion",-0.282842712474619
"31",213,1,"winter is coming","jon",0
"32",215,1,"winter is coming","jon",-0.790569415042095
"33",217,1,"winter is coming","jon",0
"34",219,1,"winter is coming","jon",0
"35",221,1,"winter is coming","jon",0.635085296108588
"36",223,1,"winter is coming","jon",1
"37",225,1,"winter is coming","tyrion",0
"38",226,1,"winter is coming","jon",0
"39",227,1,"winter is coming","tyrion",0
"40",228,1,"winter is coming","jon",0.2
"41",229,1,"winter is coming","tyrion",0
"42",230,1,"winter is coming","tyrion",-1.125
"43",231,1,"winter is coming","jon",-0.25
"44",232,1,"winter is coming","tyrion",0.286769667338202
"45",233,1,"winter is coming","jon",-0.707106781186547
"46",234,1,"winter is coming","tyrion",-0.5
"47",246,1,"winter is coming","cersei",0.89489291724392
"48",248,1,"winter is coming","cersei",0.0670820393249937
"49",250,1,"winter is coming","cersei",0.461880215351701
"50",252,1,"winter is coming","cersei",-0.707106781186547
"51",254,1,"winter is coming","cersei",0
"52",255,1,"winter is coming","cersei",0.25
"53",256,1,"winter is coming","cersei",0.223606797749979
"54",258,1,"winter is coming","cersei",0.347011046894284
"55",309,1,"winter is coming","tyrion",0.306186217847897
"56",311,1,"winter is coming","tyrion",0.84970583144992
"57",319,1,"winter is coming","cersei",-0.565685424949238
"58",321,1,"winter is coming","cersei",0
"59",323,1,"winter is coming","cersei",0
"60",340,2,"the kingsroad","tyrion",-0.0566946709513841
"61",342,2,"the kingsroad","tyrion",-0.0447213595499958
"62",344,2,"the kingsroad","tyrion",-0.144337567297406
"63",346,2,"the kingsroad","tyrion",-0.0645497224367903
"64",348,2,"the kingsroad","tyrion",1
"65",350,2,"the kingsroad","tyrion",0.69923427506707
"66",351,2,"the kingsroad","tyrion",-0.262314869782654
"67",353,2,"the kingsroad","tyrion",0.353553390593274
"68",355,2,"the kingsroad","tyrion",0
"69",356,2,"the kingsroad","cersei",0
"70",357,2,"the kingsroad","tyrion",0.111803398874989
"71",358,2,"the kingsroad","cersei",0.380131556174964
"72",359,2,"the kingsroad","tyrion",0.235178848770656
"73",360,2,"the kingsroad","cersei",-0.335410196624968
"74",361,2,"the kingsroad","tyrion",0.507796359633606
"75",363,2,"the kingsroad","tyrion",-0.275
"76",364,2,"the kingsroad","cersei",-0.0670820393249937
"77",366,2,"the kingsroad","tyrion",0.1560625
"78",368,2,"the kingsroad","tyrion",0.510252038562457
"79",369,2,"the kingsroad","cersei",1
"80",371,2,"the kingsroad","cersei",0.181220608902269
"81",373,2,"the kingsroad","cersei",0.259639684866252
"82",375,2,"the kingsroad","cersei",0
"83",377,2,"the kingsroad","jon",0
"84",379,2,"the kingsroad","jon",0
"85",381,2,"the kingsroad","jon",0
"86",383,2,"the kingsroad","jon",-0.176776695296637
"87",386,2,"the kingsroad","jon",0.433012701892219
"88",388,2,"the kingsroad","jon",0.75
"89",390,2,"the kingsroad","jon",0.144337567297406
"90",392,2,"the kingsroad","jon",0
"91",394,2,"the kingsroad","jon",0.316586911806652
"92",396,2,"the kingsroad","jon",0.551135192126215
"93",398,2,"the kingsroad","jon",0.178885438199983
"94",400,2,"the kingsroad","jon",-0.0944911182523068
"95",402,2,"the kingsroad","jon",0
"96",404,2,"the kingsroad","jon",0.200189304349053
"97",411,2,"the kingsroad","jon",-0.577350269189626
"98",413,2,"the kingsroad","jon",0.5
"99",415,2,"the kingsroad","jon",0
"100",417,2,"the kingsroad","jon",-0.5
"101",419,2,"the kingsroad","jon",0.670820393249937
"102",449,2,"the kingsroad","tyrion",0.414613991448386
"103",450,2,"the kingsroad","jon",0
"104",451,2,"the kingsroad","tyrion",0
"105",452,2,"the kingsroad","jon",-0.5
"106",453,2,"the kingsroad","tyrion",-0.153206469257085
"107",454,2,"the kingsroad","jon",1.60246890531964e-17
"108",455,2,"the kingsroad","tyrion",0.179299985634369
"109",456,2,"the kingsroad","jon",0.447213595499958
"110",457,2,"the kingsroad","tyrion",0.180277563773199
"111",458,2,"the kingsroad","jon",0.4
"112",459,2,"the kingsroad","tyrion",0.2875
"113",570,2,"the kingsroad","cersei",0.05
"114",572,2,"the kingsroad","cersei",-0.416666666666667
"115",574,2,"the kingsroad","cersei",0
"116",581,2,"the kingsroad","cersei",0.288675134594813
"117",589,2,"the kingsroad","cersei",-0.375
"118",591,2,"the kingsroad","cersei",-0.223606797749979
"119",594,2,"the kingsroad","cersei",-0.75
"120",598,2,"the kingsroad","cersei",-0.176776695296637
"121",606,2,"the kingsroad","cersei",-0.5
"122",608,2,"the kingsroad","cersei",0.577350269189626
"123",610,2,"the kingsroad","cersei",-0.5
"124",664,3,"lord snow","cersei",0.577350269189626
"125",666,3,"lord snow","cersei",-0.188982236504614
"126",668,3,"lord snow","cersei",0.159900537266708
"127",670,3,"lord snow","cersei",0.152633740776833
"128",672,3,"lord snow","cersei",0
"129",674,3,"lord snow","cersei",0
"130",676,3,"lord snow","cersei",0
"131",678,3,"lord snow","cersei",-0.353553390593274
"132",680,3,"lord snow","cersei",-0.223606797749979
"133",682,3,"lord snow","cersei",-0.245967477524977
"134",684,3,"lord snow","cersei",0.316415940842189
"135",686,3,"lord snow","cersei",-0.577350269189626
"136",774,3,"lord snow","tyrion",0.707106781186547
"137",776,3,"lord snow","tyrion",0
"138",778,3,"lord snow","tyrion",0
"139",789,3,"lord snow","jon",0.75
"140",793,3,"lord snow","tyrion",0.510310363079829
"141",795,3,"lord snow","tyrion",0.317542648054294
"142",797,3,"lord snow","jon",-0.150755672288882
"143",798,3,"lord snow","tyrion",0.0769800358919501
"144",799,3,"lord snow","jon",0.0353553390593274
"145",800,3,"lord snow","tyrion",-0.360624458405139
"146",808,3,"lord snow","cersei",-0.707106781186547
"147",810,3,"lord snow","cersei",0.3
"148",812,3,"lord snow","cersei",0
"149",814,3,"lord snow","cersei",0
"150",816,3,"lord snow","cersei",0
"151",818,3,"lord snow","cersei",0
"152",820,3,"lord snow","cersei",0
"153",828,3,"lord snow","cersei",0
"154",871,3,"lord snow","jon",0
"155",873,3,"lord snow","jon",0.353553390593274
"156",875,3,"lord snow","jon",0.565685424949238
"157",877,3,"lord snow","jon",0.565685424949238
"158",880,3,"lord snow","tyrion",0.6
"159",882,3,"lord snow","tyrion",0
"160",884,3,"lord snow","tyrion",-0.0693375245281536
"161",886,3,"lord snow","tyrion",0.804984471899924
"162",888,3,"lord snow","tyrion",-0.144956890143242
"163",890,3,"lord snow","tyrion",0
"164",892,3,"lord snow","tyrion",0.648249390842192
"165",894,3,"lord snow","tyrion",0.103237080241753
"166",899,3,"lord snow","tyrion",0.25
"167",901,3,"lord snow","tyrion",0.0577350269189626
"168",903,3,"lord snow","tyrion",0.408248290463863
"169",905,3,"lord snow","tyrion",0.166666666666667
"170",932,3,"lord snow","jon",0.0534522483824849
"171",934,3,"lord snow","tyrion",0
"172",936,3,"lord snow","tyrion",0.244948974278318
"173",939,3,"lord snow","tyrion",0.32659863237109
"174",947,3,"lord snow","jon",-0.375
"175",948,3,"lord snow","tyrion",-0.223606797749979
"176",949,3,"lord snow","jon",-0.2
"177",950,3,"lord snow","tyrion",0.176776695296637
"178",951,3,"lord snow","jon",-0.0707106781186547
"179",952,3,"lord snow","tyrion",0
"180",953,3,"lord snow","jon",0
"181",954,3,"lord snow","tyrion",0.282842712474619
"182",955,3,"lord snow","jon",0
"183",974,4,"cripples bastards and broken things","tyrion",0.148492424049175
"184",976,4,"cripples bastards and broken things","tyrion",0.111803398874989
"185",978,4,"cripples bastards and broken things","tyrion",0.65
"186",979,4,"cripples bastards and broken things","tyrion",0
"187",981,4,"cripples bastards and broken things","tyrion",0.4
"188",983,4,"cripples bastards and broken things","tyrion",0.441941738241592
"189",985,4,"cripples bastards and broken things","tyrion",0.288675134594813
"190",988,4,"cripples bastards and broken things","tyrion",0.0204124145231932
"191",990,4,"cripples bastards and broken things","tyrion",0.603738353924943
"192",992,4,"cripples bastards and broken things","tyrion",0
"193",994,4,"cripples bastards and broken things","tyrion",-0.661437827766148
"194",996,4,"cripples bastards and broken things","tyrion",-0.166410058867569
"195",998,4,"cripples bastards and broken things","tyrion",0.707106781186547
"196",1000,4,"cripples bastards and broken things","tyrion",-0.223606797749979
"197",1002,4,"cripples bastards and broken things","tyrion",0
"198",1004,4,"cripples bastards and broken things","tyrion",0.0196116135138184
"199",1006,4,"cripples bastards and broken things","tyrion",0.404145188432738
"200",1008,4,"cripples bastards and broken things","tyrion",-1.01192885125388
"201",1010,4,"cripples bastards and broken things","tyrion",-0.6875
"202",1011,4,"cripples bastards and broken things","jon",0.305085107923876
"203",1020,4,"cripples bastards and broken things","jon",-0.176776695296637
"204",1022,4,"cripples bastards and broken things","jon",0
"205",1028,4,"cripples bastards and broken things","jon",-0.75
"206",1030,4,"cripples bastards and broken things","jon",0.469574275274956
"207",1035,4,"cripples bastards and broken things","jon",-0.577350269189626
"208",1170,4,"cripples bastards and broken things","jon",0.175
"209",1172,4,"cripples bastards and broken things","jon",-0.75
"210",1174,4,"cripples bastards and broken things","jon",-0.216666666666667
"211",1176,4,"cripples bastards and broken things","jon",0.8
"212",1178,4,"cripples bastards and broken things","jon",-0.530330085889911
"213",1247,4,"cripples bastards and broken things","jon",0
"214",1249,4,"cripples bastards and broken things","jon",-0.25
"215",1251,4,"cripples bastards and broken things","jon",-0.145344418537486
"216",1253,4,"cripples bastards and broken things","jon",0
"217",1276,4,"cripples bastards and broken things","jon",-0.75
"218",1278,4,"cripples bastards and broken things","jon",0
"219",1280,4,"cripples bastards and broken things","jon",-0.530330085889911
"220",1282,4,"cripples bastards and broken things","jon",0
"221",1284,4,"cripples bastards and broken things","jon",-0.244948974278318
"222",1286,4,"cripples bastards and broken things","jon",0
"223",1288,4,"cripples bastards and broken things","jon",-0.0447213595499958
"224",1290,4,"cripples bastards and broken things","jon",0
"225",1292,4,"cripples bastards and broken things","jon",0
"226",1294,4,"cripples bastards and broken things","jon",0.8
"227",1296,4,"cripples bastards and broken things","jon",0
"228",1298,4,"cripples bastards and broken things","jon",0
"229",1300,4,"cripples bastards and broken things","jon",-0.327036886298778
"230",1305,4,"cripples bastards and broken things","jon",-0.106066017177982
"231",1335,4,"cripples bastards and broken things","cersei",-0.353553390593274
"232",1337,4,"cripples bastards and broken things","cersei",-0.563489130329947
"233",1339,4,"cripples bastards and broken things","cersei",0.259383885389976
"234",1341,4,"cripples bastards and broken things","cersei",0.625
