"","X","Name","first_apperance","last_apperance","total_apperance","seasons_apperance","time_of_monitoring","Prominence","Sentiment","Season","Episode","How","episode_of_death","Allegiances","Gender","Nobility","Dead"
"1",1,"addam marbrand",10,10,1,1,1,1,0,NA,NA,NA,NA,"Lannister","1","1",0
"2",2,"aemon targaryen (son of maekar i)",39,47,5,2,9,1.11111111111111,0.123637789397401,NA,NA,NA,NA,"Night's Watch","1","1",0
"3",3,"aeron greyjoy",52,55,2,1,4,0.5,0.343762727186427,NA,NA,NA,NA,"Other","1","1",0
"4",4,"alliser thorne",3,52,7,3,50,0.42,-0.0304162141774529,"season 6","oathbreaker","hanged by jon snow for treason.",53,"Night's Watch","1","0",1
"6",6,"amory lorch",15,16,2,1,2,1,0.0652161421372175,"season 2","the old gods and the new","poisoned by a dart covered in wolfsbane by jaqen h'ghar, on arya's orders.",16,"Lannister","1","1",1
"7",7,"anguy",22,27,6,1,6,1,-0.0313796836647468,NA,NA,NA,NA,"None","1","0",0
"8",8,"areo hotah",42,49,4,1,8,0.5,0.28076951433161,"season 6","the red woman","stabbed in the back by tyene sand with a dagger.",51,"Other","1","0",1
"9",9,"arya stark",1,67,52,7,67,5.43283582089552,-0.0256241527014922,NA,NA,NA,NA,"Stark","0","1",0
"10",10,"axell florent",32,32,1,1,1,1,0,"season 4","the lion and the rose","burned alive by melisandre, on stannis' orders.",32,"Baratheon","1","1",1
"11",11,"balon swann",12,52,4,3,41,0.292682926829268,-0.0789403855944919,"season 6","home","thrown from a bridge by his brother euron greyjoy, so that he would become the king of the iron islands.",52,"Lannister","1","1",1
"13",13,"barristan selmy",3,34,7,2,32,0.4375,0.172909689149101,"season 5","sons of the harpy","stabbed in the back by members of the sons of harpy.",44,"Targaryen","1","1",1
"16",16,"benjen stark",1,60,3,2,60,0.1,0.0787838312333076,NA,NA,NA,NA,"Night's Watch","1","1",0
"19",19,"beric dondarrion",6,6,1,1,1,1,0,"season 3","kissed by fire","slashed by sandor clegane with a sword in a trial by combat. resurrected by thoros.",25,"None","1","1",1
"20",20,"bowen marsh",53,53,1,1,1,1,0.919238815542512,"season 6","oathbreaker","hanged by jon snow for treason.",53,"Night's Watch","1","0",1
"21",21,"bran stark",1,67,33,7,67,3.44776119402985,0.00848044520102708,NA,NA,NA,NA,"Stark","1","1",0
"22",22,"brienne of tarth",13,67,30,6,55,3.27272727272727,0.0647629186125009,NA,NA,NA,NA,"Stark","0","1",0
"23",23,"bronn",4,67,32,7,64,3.5,0.0458293107278213,NA,NA,NA,NA,"Lannister","1","1",0
"24",24,"brynden tully",23,58,5,2,36,0.277777777777778,-0.0291782422552357,"season 6","no one","killed off-screen fighting lannister and frey soldiers.",58,"Other","1","1",1
"25",25,"cersei lannister",1,67,56,7,67,5.85074626865672,0.0530067483927781,"season 8","the bells ","crushed underneath rubble inside the cellars of the red keep alongside jaime, caused by drogon's destruction of king's landing.",NA,"Lannister","0","1",0
"26",26,"cohollo",9,9,1,1,1,1,0,NA,NA,NA,NA,"None","1","0",0
"27",27,"colen of greenpools",13,13,1,1,1,1,0.433012701892219,NA,NA,NA,NA,"Baratheon","1","1",0
"28",28,"craster",11,23,4,2,13,0.615384615384615,-0.00261899194035269,"season 3","and now his watch is ended","stabbed through the throat by karl tanner with a dagger, during the mutiny at craster's keep.",24,"None","1","0",1
"29",29,"cressen",11,11,1,1,1,1,0.281824312460666,"season 2","the north remembers","poisoned himself in an attempt to kill melisandre.",11,"Baratheon","1","0",1
"31",31,"daario naharis",28,60,17,4,33,2.06060606060606,0.0343598528092766,NA,NA,NA,NA,"Targaryen","1","0",0
"32",32,"daenerys targaryen",1,67,54,7,67,5.64179104477612,0.0519032044483749,"season 8","the iron throne ","stabbed in the heart by jon snow for genocide.",NA,"Targaryen","0","1",0
"33",33,"dagmer",15,20,5,1,6,0.833333333333333,0.0857499029386785,"season 2","valar morghulis","flayed alive off-screen by ramsay bolton (mentioned in season 3).",20,"Other","1","0",1
"34",34,"davos seaworth",11,67,34,6,57,3.57894736842105,0.10006541776243,NA,NA,NA,NA,"Baratheon","1","1",0
"35",35,"dickon manwoody",56,65,4,2,10,0.8,0.0181196739448301,"season 7","eastwatch ","executed by dragon fire, at daenerys' orders, for refusing to bend the knee.",65,"Other","1","1",1
"36",36,"donnel waynwood",39,39,1,1,1,1,0.304289321881345,"season 4","the watchers on the wall","killed off-screen by mag mar tun doh weg, during the battle of castle black.",39,"Other","1","1",1
"37",37,"doran martell",42,51,5,2,10,1,0.140747789736831,"season 6","the red woman","stabbed in the chest by ellaria sand with a dagger.",51,"Other","1","1",1
"38",38,"doreah",2,20,6,2,19,0.631578947368421,0.208637863240725,"season 2","valar morghulis","locked inside xaro's vault by jorah mormont, on daenerys orders. either starved or suffocated off-screen.",20,"Targaryen","0","0",1
"39",39,"drogo",20,20,1,1,1,1,-0.106369638173302,NA,NA,NA,NA,"Targaryen","1","1",0
"40",40,"eddard stark",1,60,12,3,60,0.6,0.067923176475847,"season 1","baelor","beheaded by ser ilyn payne with his own greatsword ice, on joffrey's orders.",9,"Stark","1","1",1
"41",41,"edmure tully",23,67,6,2,45,0.266666666666667,0.0944019523347144,NA,NA,NA,NA,"Other","1","1",0
"42",42,"ellaria sand",31,62,11,4,32,1.375,0.0402011276672505,"season 8","the bells ","presumably killed when drogon destroyed the red keep. debatable",NA,"Other","0","1",0
"43",43,"farlen",16,16,1,1,1,1,-0.223606797749979,NA,NA,NA,NA,"Stark","1","0",0
"44",44,"galbart glover",10,10,1,1,1,1,0.32659863237109,NA,NA,NA,NA,"Stark","1","1",0
"45",45,"gared",1,1,1,1,1,1,-0.0510310363079829,"season 1","winter is coming","beheaded by a white walker with an ice blade.",1,"Night's Watch","1","0",1
"46",46,"gilly",11,67,21,6,57,2.21052631578947,0.0250133777527026,NA,NA,NA,NA,"Other","0","0",0
"47",47,"grenn",3,39,17,4,37,1.83783783783784,-0.140617718548694,"season 4","the watchers on the wall","killed off-screen by mag mar tun doh weg, during the battle of castle black.",39,"Night's Watch","1","0",1
"48",48,"grey worm",25,67,20,5,43,2.32558139534884,-0.0196554338915764,NA,NA,NA,NA,"Targaryen","1","0",0
"49",49,"harrag sharp",67,67,1,1,1,1,-0.22350856861547,NA,NA,NA,NA,"Other","1","1",0
"50",51,"hodor",13,55,14,4,43,1.30232558139535,0,"season 6","the door","torn apart by wights while holding the door.",55,"Stark","1","0",1
"51",52,"hot pie",10,62,9,5,53,0.849056603773585,0.0277666713450897,NA,NA,NA,NA,"None","1","0",0
"54",55,"irri",2,15,7,2,14,1,0.0920568759682029,"season 2","the old gods and the new","strangled off-screen by doreah, on xaro xhoan daxo's orders.",16,"Targaryen","0","0",1
"55",56,"jacks",17,17,1,1,1,1,-0.0883883476483184,"season 2","a man without honour","killed off-screen by dagmer.",17,"Stark","1","0",1
"56",57,"jaime lannister",1,67,50,7,67,5.22388059701493,0.0200634075929396,"season 8","the bells ","after being stabbed by euron with a dagger, he attempted to help cersei escape from the city. however they were trapped in the cellars of the red keep. crushed underneath rubble inside the cellars of the red keep, alongside cersei, caused by drogon's destruction of king's landing.",NA,"Lannister","1","1",0
"58",59,"janos slynt",4,37,6,2,34,0.352941176470588,0.0244131022782973,"season 5","high sparrow","beheaded by jon snow with longclaw for insubordination.",43,"None","1","1",1
"59",60,"jaremy rykker",7,7,1,1,1,1,0,NA,NA,NA,NA,"Night's Watch","1","1",0
"61",62,"jeor mormont",3,10,5,1,8,0.625,-0.015702546698336,"season 3","and now his watch is ended","stabbed in the back by rast with a dagger, during the mutiny at craster's keep.",24,"Night's Watch","1","1",1
"62",63,"jhiqui",2,2,1,1,1,1,0,NA,NA,NA,NA,"Targaryen","0","0",0
